Zone_ID,Image_Source_ID,Image_Type,NDVI,NDRE,RGB_Damage_Score,UAV_Timestamp,N,P,K,Moisture,pH,Temperature,Humidity,NDI_Label,PDI_Label,Semantic_Tag,Action_Suggested,Energy_Consumed_mAh,Latency_ms,Current_Node,Migrated_To,Migration_Required,Migration_Timestamp
Z9,IMG_Z9_202510201545.jpg,RGB,,,1.0,10/20/2025 15:45,27,20,86,19.91,7.55,40.06,65.51,Medium,High,"Healthy, N-deficiency",Irrigate,3.09,68.41,Cloud-Node-1,Cloud-Node-1,No,
Z6,IMG_Z6_202506232230.jpg,RGB,,,0.67,6/23/2025 22:30,45,20,37,27.67,6.19,31.32,60.35,Medium,High,"Pest-risk, P-deficiency",Apply Fertilizer,1.36,12.35,Cloud-Node-1,Cloud-Node-1,No,
Z3,IMG_Z3_202508060155.jpg,Multispectral,0.57,0.4,,08/06/2025 1:55,54,13,41,19.46,7.22,30.15,28.23,Medium,Low,"Healthy, P-deficiency",Monitor,9.95,51.88,Cloud-Node-2,Cloud-Node-1,Yes,08/06/2025 1:55
Z7,IMG_Z7_202505280015.jpg,Multispectral,0.67,0.27,,5/28/2025 0:15,60,14,52,11.89,6.22,23.3,90.42,High,High,"P-deficiency, N-deficiency",Monitor,8.46,53.16,Edge-Node-A,Edge-Node-A,No,
Z4,IMG_Z4_202507100315.jpg,RGB,,,0.41,07/10/2025 3:15,30,17,90,23.62,5.17,30.66,72.31,Medium,Medium,"K-deficiency, Healthy",Monitor,1.53,35.35,Edge-Node-B,Edge-Node-B,No,
Z10,IMG_Z10_202508141725.jpg,Multispectral,0.84,0.24,,8/14/2025 17:25,65,11,31,28.4,7.3,25.74,27.35,Medium,Low,"K-deficiency, Pest-risk",Monitor,1.62,88.78,Edge-Node-B,Edge-Node-B,No,
Z5,IMG_Z5_202504220555.jpg,Multispectral,0.79,0.53,,4/22/2025 5:55,53,21,63,25.17,7.46,23.51,30.4,Medium,Low,"N-deficiency, K-deficiency",Monitor,2.07,67.75,Cloud-Node-2,Cloud-Node-2,No,
Z6,IMG_Z6_202506060500.jpg,Multispectral,0.5,0.41,,06/06/2025 5:00,65,33,68,20.92,6.92,26.52,34.7,Medium,High,"Pest-risk, K-deficiency",Monitor,9.9,52.38,Edge-Node-A,Edge-Node-A,No,
Z3,IMG_Z3_202508030705.jpg,Multispectral,0.36,0.59,,08/03/2025 7:05,71,17,76,34.97,7.03,38.82,91.64,High,Medium,"Pest-risk, P-deficiency",Irrigate,7.41,87.77,Cloud-Node-2,Cloud-Node-2,No,
Z10,IMG_Z10_202506070710.jpg,Multispectral,0.54,0.35,,06/07/2025 7:10,50,19,83,31.18,7.63,35.41,47.28,Medium,Medium,"Healthy, N-deficiency",Apply Fertilizer,7.9,41.66,Edge-Node-B,Edge-Node-B,No,
Z8,IMG_Z8_202509251555.jpg,Multispectral,0.38,0.19,,9/25/2025 15:55,50,9,81,20.98,6.63,37.36,48.43,Medium,Low,"K-deficiency, Healthy",Apply Pesticide,2.5,12.55,Cloud-Node-1,Cloud-Node-1,No,
Z6,IMG_Z6_202509271835.jpg,Multispectral,0.41,0.47,,9/27/2025 18:35,60,26,43,34.6,6.85,32.79,84.95,Medium,Medium,"Pest-risk, P-deficiency",Irrigate,6.44,29.77,Edge-Node-B,Edge-Node-A,Yes,9/27/2025 18:35
Z5,IMG_Z5_202504250535.jpg,RGB,,,0.26,4/25/2025 5:35,37,34,42,34.51,6.74,38.96,65.53,Medium,High,"N-deficiency, K-deficiency",Monitor,9.6,74.75,Edge-Node-B,Edge-Node-B,No,
Z6,IMG_Z6_202505050235.jpg,RGB,,,0.97,05/05/2025 2:35,38,20,73,14.57,5.86,31.1,31.48,High,Low,"K-deficiency, K-deficiency",Monitor,3.47,52.65,Edge-Node-B,Cloud-Node-1,Yes,05/05/2025 2:35
Z4,IMG_Z4_202508130235.jpg,Multispectral,0.64,0.58,,8/13/2025 2:35,66,14,76,11.09,6.07,32.66,81.58,Low,Low,"K-deficiency, Pest-risk",Monitor,4.24,93.53,Edge-Node-A,Edge-Node-A,No,
Z9,IMG_Z9_202510052110.jpg,RGB,,,0.54,10/05/2025 21:10,20,9,42,12.24,5.94,34.05,47.2,Medium,Low,"Pest-risk, N-deficiency",Apply Fertilizer,9.84,98.07,Edge-Node-B,Edge-Node-B,No,
Z2,IMG_Z2_202505140000.jpg,Multispectral,0.7,0.25,,5/14/2025 0:00,62,6,87,15.97,7.1,21.26,87.8,Low,Low,"N-deficiency, K-deficiency",Monitor,8.52,68.96,Edge-Node-A,Edge-Node-A,No,
Z3,IMG_Z3_202506030450.jpg,Multispectral,0.49,0.29,,06/03/2025 4:50,58,17,26,32.4,5.36,31.2,77.95,High,High,"Healthy, P-deficiency",Monitor,2.53,44.65,Cloud-Node-2,Cloud-Node-2,No,
Z8,IMG_Z8_202508171430.jpg,RGB,,,0.16,8/17/2025 14:30,20,14,77,35.14,5.12,26.52,58.63,High,Low,"Pest-risk, N-deficiency",Apply Pesticide,8.89,22.6,Cloud-Node-2,Cloud-Node-2,No,
Z2,IMG_Z2_202505022130.jpg,RGB,,,0.29,05/02/2025 21:30,38,23,24,18.91,6.7,37.78,83.6,Low,Low,"Healthy, Pest-risk",Apply Pesticide,9.02,32.04,Cloud-Node-2,Cloud-Node-2,No,
Z3,IMG_Z3_202507090125.jpg,RGB,,,0.62,07/09/2025 1:25,24,20,80,29.81,7.31,41.2,41.11,Medium,Low,"Pest-risk, K-deficiency",Irrigate,1.18,92.71,Cloud-Node-1,Cloud-Node-1,No,
Z8,IMG_Z8_202504041240.jpg,RGB,,,0.6,04/04/2025 12:40,33,23,59,12.3,6.71,29.19,68.02,Medium,Low,"N-deficiency, N-deficiency",Irrigate,6.81,39.73,Cloud-Node-1,Cloud-Node-1,No,
Z1,IMG_Z1_202507191325.jpg,Multispectral,0.48,0.15,,7/19/2025 13:25,25,14,32,24.38,6.47,20.98,36.92,Medium,Low,"N-deficiency, K-deficiency",Apply Fertilizer,3.14,28.15,Edge-Node-B,Edge-Node-B,No,
Z5,IMG_Z5_202507050915.jpg,Multispectral,0.63,0.32,,07/05/2025 9:15,42,25,53,36.02,6.16,40.05,37.12,Medium,Medium,"N-deficiency, K-deficiency",Monitor,4.97,63.34,Cloud-Node-1,Cloud-Node-1,No,
Z6,IMG_Z6_202508100655.jpg,Multispectral,0.48,0.35,,08/10/2025 6:55,36,22,80,8.42,5.96,29.69,59.84,High,Low,"P-deficiency, Healthy",Irrigate,8.9,86.23,Edge-Node-B,Edge-Node-B,No,
Z2,IMG_Z2_202509300025.jpg,Multispectral,0.4,0.57,,9/30/2025 0:25,16,20,72,18.98,6.87,26.96,75.94,Medium,Low,"K-deficiency, N-deficiency",Apply Fertilizer,8.09,57.31,Edge-Node-B,Edge-Node-B,No,
Z6,IMG_Z6_202507060015.jpg,RGB,,,0.88,07/06/2025 0:15,55,16,74,26.08,5.33,24.32,65.36,Medium,Medium,"Healthy, Pest-risk",Monitor,8.42,45.05,Cloud-Node-1,Cloud-Node-1,No,
Z9,IMG_Z9_202504251200.jpg,Multispectral,0.28,0.41,,4/25/2025 12:00,51,40,27,33.69,6.24,27.1,52.47,High,Medium,"N-deficiency, Pest-risk",Apply Fertilizer,5.24,39.63,Edge-Node-B,Edge-Node-B,No,
Z8,IMG_Z8_202509270335.jpg,Multispectral,0.36,0.57,,9/27/2025 3:35,45,30,91,35.15,5.03,39.04,92.53,High,Low,"N-deficiency, N-deficiency",Monitor,1.85,15.95,Cloud-Node-2,Cloud-Node-2,No,
Z7,IMG_Z7_202508262340.jpg,Multispectral,0.81,0.57,,8/26/2025 23:40,26,32,73,26.01,6.05,21.49,73.79,High,Medium,"K-deficiency, Healthy",Irrigate,5.11,30.24,Edge-Node-A,Edge-Node-A,No,
Z5,IMG_Z5_202509011615.jpg,Multispectral,0.69,0.1,,09/01/2025 16:15,71,25,50,10.9,5.83,35.6,31.45,High,Low,"P-deficiency, N-deficiency",Apply Fertilizer,1.88,29.22,Cloud-Node-2,Cloud-Node-2,No,
Z2,IMG_Z2_202508131845.jpg,RGB,,,0.8,8/13/2025 18:45,66,5,52,8.05,5.89,41.98,33.7,Medium,High,"P-deficiency, K-deficiency",Apply Fertilizer,6.29,88.32,Edge-Node-A,Edge-Node-A,No,
Z3,IMG_Z3_202509020040.jpg,RGB,,,0.7,09/02/2025 0:40,46,13,29,35.92,5.11,19.87,48.96,Medium,Low,"P-deficiency, N-deficiency",Apply Pesticide,7.39,77.79,Cloud-Node-1,Cloud-Node-1,No,
Z8,IMG_Z8_202507080510.jpg,Multispectral,0.87,0.19,,07/08/2025 5:10,32,26,54,19.14,5.41,30.36,34.94,Medium,Low,"N-deficiency, K-deficiency",Apply Fertilizer,2.69,31.62,Cloud-Node-2,Cloud-Node-2,No,
Z4,IMG_Z4_202504290550.jpg,RGB,,,0.04,4/29/2025 5:50,64,27,34,21.28,7.75,41.62,31.03,Medium,High,"K-deficiency, N-deficiency",Monitor,2.6,34.97,Edge-Node-B,Edge-Node-B,No,
Z2,IMG_Z2_202509282100.jpg,RGB,,,0.0,9/28/2025 21:00,22,19,71,14.45,7.96,27.77,94.09,Medium,Medium,"K-deficiency, K-deficiency",Apply Fertilizer,3.15,91.19,Edge-Node-A,Edge-Node-A,No,
Z2,IMG_Z2_202509151215.jpg,RGB,,,0.31,9/15/2025 12:15,31,23,33,28.76,5.77,25.15,94.44,High,Low,"K-deficiency, P-deficiency",Irrigate,2.14,96.17,Cloud-Node-2,Edge-Node-A,Yes,9/15/2025 12:16
Z10,IMG_Z10_202506301730.jpg,Multispectral,0.51,0.42,,6/30/2025 17:30,69,15,72,24.96,5.15,38.88,51.25,Low,High,"P-deficiency, K-deficiency",Apply Fertilizer,6.5,21.31,Cloud-Node-1,Cloud-Node-1,No,
Z2,IMG_Z2_202504302315.jpg,Multispectral,0.32,0.18,,4/30/2025 23:15,58,20,94,34.48,6.83,35.33,39.78,High,Low,"P-deficiency, K-deficiency",Apply Fertilizer,5.72,53.29,Edge-Node-B,Edge-Node-B,No,
Z9,IMG_Z9_202510210045.jpg,Multispectral,0.28,0.28,,10/21/2025 0:45,50,23,72,30.2,7.04,18.55,41.1,Low,High,"Healthy, Pest-risk",Monitor,1.81,83.93,Edge-Node-B,Edge-Node-B,No,
Z4,IMG_Z4_202507241235.jpg,Multispectral,0.41,0.17,,7/24/2025 12:35,23,26,35,22.37,5.99,41.48,59.88,High,Low,"N-deficiency, K-deficiency",Apply Pesticide,1.84,67.82,Cloud-Node-2,Cloud-Node-2,No,
Z8,IMG_Z8_202510112020.jpg,Multispectral,0.38,0.29,,10/11/2025 20:20,44,5,30,18.78,6.9,31.27,48.1,Low,Low,"K-deficiency, N-deficiency",Apply Fertilizer,9.13,62.33,Cloud-Node-1,Cloud-Node-1,No,
Z5,IMG_Z5_202509201300.jpg,RGB,,,0.4,9/20/2025 13:00,54,10,72,30.99,5.74,36.51,35.07,Low,High,"N-deficiency, Pest-risk",Apply Fertilizer,9.67,77.32,Edge-Node-B,Edge-Node-B,No,
Z8,IMG_Z8_202505190250.jpg,RGB,,,0.03,5/19/2025 2:50,21,25,35,31.03,7.88,18.4,88.11,High,Low,"Pest-risk, K-deficiency",Irrigate,4.66,52.6,Edge-Node-A,Edge-Node-A,No,
Z2,IMG_Z2_202507311730.jpg,Multispectral,0.81,0.53,,7/31/2025 17:30,59,32,49,34.71,6.56,23.83,78.39,Medium,Low,"K-deficiency, K-deficiency",Monitor,1.5,28.41,Edge-Node-A,Edge-Node-A,No,
Z4,IMG_Z4_202508080005.jpg,RGB,,,0.47,08/08/2025 0:05,31,29,49,25.42,5.26,21.83,37.25,Medium,Low,"N-deficiency, N-deficiency",Apply Pesticide,9.91,63.75,Edge-Node-A,Edge-Node-A,No,
Z3,IMG_Z3_202506182210.jpg,Multispectral,0.61,0.31,,6/18/2025 22:10,48,19,93,29.05,7.8,37.28,74.3,Medium,Low,"N-deficiency, K-deficiency",Irrigate,3.88,46.86,Edge-Node-B,Edge-Node-B,No,
Z2,IMG_Z2_202508082355.jpg,RGB,,,0.64,08/08/2025 23:55,23,16,70,18.62,6.92,31.77,72.3,High,High,"N-deficiency, P-deficiency",Apply Pesticide,2.23,65.83,Cloud-Node-1,Cloud-Node-1,No,
Z6,IMG_Z6_202508251200.jpg,RGB,,,0.2,8/25/2025 12:00,21,10,75,31.23,6.49,18.27,82.93,Medium,High,"P-deficiency, Pest-risk",Monitor,5.75,23.81,Cloud-Node-2,Cloud-Node-1,Yes,8/25/2025 12:00
Z6,IMG_Z6_202507040530.jpg,Multispectral,0.83,0.16,,07/04/2025 5:30,27,15,43,37.38,6.83,35.61,40.1,Medium,Medium,"Pest-risk, Pest-risk",Monitor,6.13,43.78,Edge-Node-B,Edge-Node-B,No,
Z3,IMG_Z3_202505061620.jpg,RGB,,,0.87,05/06/2025 16:20,44,5,67,14.85,5.67,20.25,36.39,Medium,Low,"Pest-risk, N-deficiency",Monitor,7.76,50.22,Cloud-Node-2,Cloud-Node-2,No,
Z6,IMG_Z6_202505081835.jpg,Multispectral,0.81,0.36,,05/08/2025 18:35,72,35,64,28.06,5.65,22.91,41.49,High,Low,"Healthy, Pest-risk",Apply Pesticide,6.67,92.16,Cloud-Node-2,Cloud-Node-2,No,
Z9,IMG_Z9_202510170150.jpg,Multispectral,0.82,0.38,,10/17/2025 1:50,25,24,91,10.22,6.44,20.39,58.89,Low,Medium,"K-deficiency, P-deficiency",Irrigate,3.16,92.21,Cloud-Node-2,Cloud-Node-2,No,
Z6,IMG_Z6_202504241745.jpg,Multispectral,0.54,0.42,,4/24/2025 17:45,23,42,93,32.63,6.95,30.7,76.97,Medium,Medium,"Healthy, K-deficiency",Irrigate,8.83,47.7,Edge-Node-A,Edge-Node-A,No,
Z3,IMG_Z3_202507201705.jpg,Multispectral,0.36,0.14,,7/20/2025 17:05,36,29,24,33.09,7.73,25.87,80.58,High,High,"Healthy, Pest-risk",Irrigate,9.05,90.28,Cloud-Node-1,Cloud-Node-1,No,
Z9,IMG_Z9_202508030605.jpg,RGB,,,0.85,08/03/2025 6:05,55,18,54,20.04,5.52,25.06,46.05,Low,High,"P-deficiency, Pest-risk",Apply Pesticide,1.55,33.68,Cloud-Node-2,Cloud-Node-2,No,
Z10,IMG_Z10_202506290905.jpg,RGB,,,0.56,6/29/2025 9:05,37,16,62,32.99,6.07,37.34,60.24,Low,Medium,"P-deficiency, Healthy",Apply Fertilizer,6.46,33.29,Edge-Node-B,Edge-Node-B,No,
Z4,IMG_Z4_202504120740.jpg,RGB,,,0.24,04/12/2025 7:40,52,12,22,22.49,5.83,41.86,48.12,Medium,Low,"K-deficiency, Pest-risk",Apply Pesticide,4.39,38.67,Edge-Node-B,Edge-Node-B,No,
Z3,IMG_Z3_202509141405.jpg,RGB,,,0.92,9/14/2025 14:05,53,13,52,11.15,7.11,29.59,30.05,High,Medium,"P-deficiency, Pest-risk",Monitor,4.3,76.79,Cloud-Node-2,Cloud-Node-2,No,
Z6,IMG_Z6_202504290315.jpg,Multispectral,0.45,0.42,,4/29/2025 3:15,39,9,34,36.58,5.2,40.39,68.77,High,Medium,"Pest-risk, N-deficiency",Apply Fertilizer,1.7,35.51,Edge-Node-B,Edge-Node-B,No,
Z2,IMG_Z2_202506260820.jpg,Multispectral,0.88,0.3,,6/26/2025 8:20,53,17,29,22.01,5.51,39.37,41.84,Low,High,"K-deficiency, P-deficiency",Monitor,3.53,61.98,Edge-Node-A,Edge-Node-A,No,
Z8,IMG_Z8_202506141140.jpg,RGB,,,0.44,6/14/2025 11:40,73,7,76,8.19,5.95,38.71,74.22,High,Low,"P-deficiency, P-deficiency",Apply Fertilizer,5.64,37.2,Cloud-Node-2,Cloud-Node-2,No,
Z2,IMG_Z2_202507152220.jpg,RGB,,,0.55,7/15/2025 22:20,65,36,72,35.31,7.11,20.56,75.04,High,Low,"Healthy, Healthy",Monitor,5.1,32.19,Edge-Node-B,Edge-Node-B,No,
Z3,IMG_Z3_202505281840.jpg,Multispectral,0.46,0.27,,5/28/2025 18:40,27,27,71,10.88,7.07,24.19,37.77,Low,Medium,"Healthy, P-deficiency",Apply Pesticide,9.97,90.24,Edge-Node-A,Edge-Node-A,No,
Z1,IMG_Z1_202509061610.jpg,Multispectral,0.39,0.16,,09/06/2025 16:10,59,13,83,11.07,7.83,32.22,37.2,Medium,Low,"N-deficiency, P-deficiency",Monitor,1.53,22.79,Cloud-Node-1,Cloud-Node-1,No,
Z9,IMG_Z9_202508280010.jpg,Multispectral,0.86,0.13,,8/28/2025 0:10,52,35,30,10.84,7.07,28.16,42.3,High,High,"Pest-risk, Pest-risk",Apply Pesticide,8.36,50.68,Cloud-Node-2,Cloud-Node-2,No,
Z6,IMG_Z6_202508051450.jpg,Multispectral,0.63,0.1,,08/05/2025 14:50,60,6,78,37.74,5.42,26.5,84.99,Low,Low,"K-deficiency, Pest-risk",Monitor,6.5,37.79,Edge-Node-B,Edge-Node-B,No,
Z4,IMG_Z4_202509140405.jpg,RGB,,,0.42,9/14/2025 4:05,27,25,82,14.21,7.57,41.66,40.41,Medium,Low,"Healthy, P-deficiency",Apply Fertilizer,5.79,13.13,Edge-Node-A,Edge-Node-A,No,
Z9,IMG_Z9_202510090150.jpg,Multispectral,0.62,0.22,,10/09/2025 1:50,66,16,57,27.09,5.93,23.16,94.27,High,High,"P-deficiency, P-deficiency",Apply Pesticide,9.49,12.88,Cloud-Node-1,Cloud-Node-1,No,
Z8,IMG_Z8_202507031750.jpg,RGB,,,0.72,07/03/2025 17:50,62,18,46,35.13,6.78,27.68,64.09,High,Low,"Pest-risk, P-deficiency",Irrigate,6.61,40.94,Edge-Node-B,Edge-Node-B,No,
Z10,IMG_Z10_202505182225.jpg,RGB,,,0.09,5/18/2025 22:25,15,26,38,18.94,5.18,40.73,32.79,Low,High,"K-deficiency, Pest-risk",Irrigate,5.92,38.11,Cloud-Node-1,Cloud-Node-1,No,
Z9,IMG_Z9_202505191745.jpg,RGB,,,0.73,5/19/2025 17:45,49,23,91,34.03,7.6,23.97,26.69,Low,High,"K-deficiency, Pest-risk",Irrigate,7.41,73.62,Cloud-Node-1,Cloud-Node-1,No,
Z10,IMG_Z10_202510152305.jpg,RGB,,,0.73,10/15/2025 23:05,32,5,55,30.76,7.9,31.89,26.08,Medium,Low,"K-deficiency, K-deficiency",Apply Pesticide,8.99,61.65,Cloud-Node-1,Edge-Node-A,Yes,10/15/2025 23:06
Z7,IMG_Z7_202509191935.jpg,Multispectral,0.54,0.3,,9/19/2025 19:35,73,22,64,19.19,6.65,29.48,93.36,High,High,"Pest-risk, P-deficiency",Apply Fertilizer,7.43,33.4,Cloud-Node-1,Cloud-Node-1,No,
Z8,IMG_Z8_202505050625.jpg,Multispectral,0.41,0.33,,05/05/2025 6:25,52,39,70,27.6,6.25,25.45,94.3,Medium,Low,"K-deficiency, P-deficiency",Irrigate,6.68,63.44,Cloud-Node-1,Cloud-Node-1,No,
Z10,IMG_Z10_202508231240.jpg,RGB,,,0.78,8/23/2025 12:40,48,12,74,11.77,7.97,22.78,86.38,Medium,High,"K-deficiency, Healthy",Monitor,2.03,66.49,Cloud-Node-1,Edge-Node-A,Yes,8/23/2025 12:41
Z8,IMG_Z8_202506291305.jpg,Multispectral,0.6,0.16,,6/29/2025 13:05,35,23,77,14.74,6.02,25.83,46.71,Low,Low,"Healthy, Pest-risk",Monitor,2.39,41.17,Cloud-Node-2,Cloud-Node-2,No,
Z9,IMG_Z9_202507280810.jpg,Multispectral,0.53,0.49,,7/28/2025 8:10,30,16,63,30.61,5.07,29.77,31.32,Low,Low,"Pest-risk, Pest-risk",Monitor,3.83,22.65,Cloud-Node-1,Cloud-Node-1,No,
Z6,IMG_Z6_202506180050.jpg,Multispectral,0.78,0.39,,6/18/2025 0:50,66,40,65,29.19,6.87,20.25,90.86,Low,Medium,"Healthy, N-deficiency",Apply Pesticide,6.5,30.38,Edge-Node-B,Edge-Node-B,No,
Z6,IMG_Z6_202510260030.jpg,RGB,,,0.89,10/26/2025 0:30,44,44,92,34.64,5.7,24.53,65.47,Low,High,"N-deficiency, K-deficiency",Monitor,9.1,71.51,Edge-Node-A,Edge-Node-A,No,
Z1,IMG_Z1_202504301515.jpg,Multispectral,0.57,0.18,,4/30/2025 15:15,60,29,28,8.94,5.8,28.48,73.7,Medium,Medium,"N-deficiency, N-deficiency",Irrigate,6.6,34.99,Edge-Node-A,Edge-Node-A,No,
Z5,IMG_Z5_202504142105.jpg,Multispectral,0.6,0.16,,4/14/2025 21:05,25,21,78,28.73,7.17,38.46,53.39,High,Medium,"P-deficiency, Pest-risk",Apply Fertilizer,7.05,53.85,Cloud-Node-2,Cloud-Node-2,No,
Z3,IMG_Z3_202507061330.jpg,Multispectral,0.67,0.44,,07/06/2025 13:30,50,22,20,35.4,6.4,24.99,50.13,High,Medium,"K-deficiency, P-deficiency",Monitor,5.95,45.45,Edge-Node-B,Edge-Node-B,No,
Z4,IMG_Z4_202510100955.jpg,RGB,,,0.46,10/10/2025 9:55,47,25,82,24.45,6.99,26.58,85.35,Medium,Medium,"Pest-risk, Healthy",Monitor,6.59,67.09,Edge-Node-A,Edge-Node-A,No,
Z1,IMG_Z1_202505011330.jpg,Multispectral,0.48,0.13,,05/01/2025 13:30,39,38,25,29.21,7.59,33.16,72.28,Medium,Low,"Pest-risk, Healthy",Apply Pesticide,7.44,57.27,Cloud-Node-1,Cloud-Node-1,No,
Z8,IMG_Z8_202506161050.jpg,Multispectral,0.35,0.54,,6/16/2025 10:50,52,38,70,30.17,7.05,32.81,67.9,High,Low,"Pest-risk, Healthy",Apply Fertilizer,7.41,99.73,Cloud-Node-2,Cloud-Node-2,No,
Z8,IMG_Z8_202508101955.jpg,Multispectral,0.79,0.59,,08/10/2025 19:55,19,10,72,12.58,7.84,35.48,71.62,Medium,Low,"N-deficiency, K-deficiency",Apply Pesticide,7.04,88.82,Cloud-Node-2,Cloud-Node-2,No,
Z2,IMG_Z2_202504052320.jpg,Multispectral,0.28,0.3,,04/05/2025 23:20,58,11,45,14.5,6.01,38.5,29.96,High,High,"Pest-risk, P-deficiency",Apply Fertilizer,3.0,66.29,Edge-Node-A,Edge-Node-A,No,
Z9,IMG_Z9_202504212150.jpg,Multispectral,0.69,0.39,,4/21/2025 21:50,68,14,70,15.04,6.08,21.95,54.51,Medium,Low,"K-deficiency, N-deficiency",Monitor,8.27,25.0,Cloud-Node-1,Cloud-Node-1,No,
Z7,IMG_Z7_202508241835.jpg,RGB,,,0.67,8/24/2025 18:35,43,43,43,8.76,7.46,20.04,94.41,Low,Medium,"P-deficiency, N-deficiency",Irrigate,2.63,68.53,Edge-Node-A,Edge-Node-A,No,
Z4,IMG_Z4_202509192150.jpg,Multispectral,0.67,0.5,,9/19/2025 21:50,37,39,68,17.31,6.58,25.56,80.13,Medium,Medium,"Healthy, Healthy",Apply Pesticide,4.24,85.28,Cloud-Node-1,Cloud-Node-1,No,
Z1,IMG_Z1_202505020220.jpg,RGB,,,0.19,05/02/2025 2:20,29,5,22,31.07,6.21,27.05,37.68,Medium,High,"P-deficiency, K-deficiency",Monitor,8.39,48.61,Cloud-Node-1,Cloud-Node-1,No,
